METHOD	PATH	HANDLER	AUTH/DEPS
GET	/api/v1/clones	app.routes.clones.list_clones	get_current_user,get_db
DELETE	/api/v1/clones/{clone_id}	app.routes.clones.delete_clone	get_current_user,get_db
GET	/api/v1/clones/{clone_id}/download	app.routes.clones.download_clone	get_current_user,get_db
POST	/api/v1/clones/{clone_id}/export-soul-file	app.routes.clones.export_soul_file	get_db,get_current_user
POST	/api/v1/clones/{clone_id}/preview	app.routes.clones.generate_preview	get_current_user,get_db
GET	/api/v1/legacy/readiness	app.routes.legacy.get_readiness	get_current_user,get_db
GET	/api/v1/legacy/stats	app.routes.legacy.get_legacy_stats	get_current_user,get_db
GET	/api/v1/legacy/timeline	app.routes.legacy.get_timeline	get_current_user,get_db
GET	/api/v1/orders	app.routes.orders.list_orders	get_current_user,get_db
POST	/api/v1/orders	app.routes.orders.create_order	get_current_user,get_db
GET	/api/v1/orders/{order_id}	app.routes.orders.get_order	get_current_user,get_db
POST	/api/v1/orders/{order_id}/cancel	app.routes.orders.cancel_order	get_current_user,get_db
GET	/api/v1/preferences	app.routes.preferences.get_preferences	get_current_user,get_db
PUT	/api/v1/preferences	app.routes.preferences.update_preferences	get_current_user,get_db
GET	/api/v1/providers	app.routes.providers.list_providers	get_current_user
GET	/api/v1/providers/{provider_id}	app.routes.providers.get_provider_detail	get_current_user
GET	/api/v1/providers/{provider_id}/compat	app.routes.providers.check_compatibility	get_current_user,get_db
POST	/api/v1/webhooks/identity/created	app.routes.webhooks.handle_identity_created	get_db
POST	/api/v1/webhooks/trust/changed	app.routes.webhooks.handle_trust_changed	-
GET	/docs	fastapi.applications.swagger_ui_html	-
GET	/docs/oauth2-redirect	fastapi.applications.swagger_ui_redirect	-
GET	/health	app.routes.health.health_check	-
GET	/openapi.json	fastapi.applications.openapi	-
GET	/redoc	fastapi.applications.redoc_html	-
